date,home_team,away_team,home_score,away_score,status,home_stats,away_stats
2026-02-22T18:05Z,Atlanta Braves,Minnesota Twins,1,8,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""9""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""1""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".265""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""8.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""9""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""8""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".265""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""1.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T18:05Z,Boston Red Sox,Toronto Blue Jays,11,10,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""15""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""11""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".385""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""10.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""14""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""10""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".368""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""7.88""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""1""}]"
2026-02-22T18:05Z,Detroit Tigers,Baltimore Orioles,4,4,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""7""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""4""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".206""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""1""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""9""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""4""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".257""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T18:05Z,Houston Astros,St. Louis Cardinals,5,6,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""8""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""5""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".242""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""3.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""2""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""9""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""6""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".250""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""5.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T18:05Z,New York Yankees,New York Mets,4,6,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""9""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""4""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".265""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""6.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""1""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""11""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""6""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".289""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T18:05Z,Philadelphia Phillies,Pittsburgh Pirates,3,4,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""8""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""3""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".242""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""5""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""4""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".156""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""2.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T18:05Z,Pittsburgh Pirates,Tampa Bay Rays,7,4,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""10""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""7""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".286""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""7""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""4""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".226""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""4.50""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""2""}]"
2026-02-22T18:10Z,Miami Marlins,Washington Nationals,8,16,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""10""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""8""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".278""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""16.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""14""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""16""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".359""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""8.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T20:05Z,Athletics,Cleveland Guardians,0,6,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""4""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""0""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".129""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""3.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""2""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""12""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""6""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".300""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""0.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""0""}]"
2026-02-22T20:05Z,Chicago White Sox,Milwaukee Brewers,5,2,Final,"[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""7""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""5""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".226""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""1""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""0""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""1""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""2.00""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""1""}]","[{""name"": ""hits"", ""abbreviation"": ""H"", ""displayValue"": ""7""}, {""name"": ""runs"", ""abbreviation"": ""R"", ""displayValue"": ""2""}, {""name"": ""avg"", ""abbreviation"": ""AVG"", ""displayValue"": "".219""}, {""name"": ""saves"", ""abbreviation"": ""SV"", ""displayValue"": ""0""}, {""name"": ""losses"", ""abbreviation"": ""L"", ""displayValue"": ""1""}, {""name"": ""wins"", ""abbreviation"": ""W"", ""displayValue"": ""0""}, {""name"": ""ERA"", ""abbreviation"": ""ERA"", ""displayValue"": ""5.63""}, {""name"": ""errors"", ""abbreviation"": ""E"", ""displayValue"": ""1""}]"
